"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","market_segment","distribution_channel","is_repeated_guest","reserved_room_type","assigned_room_type","booking_changes","deposit_type","customer_type","adr","required_car_parking_spaces","total_of_special_requests","is_company","is_agent","room_coherence","if_prev_cancel","if_wait"
"Resort_Hotel","not_canceled",18,"2015","June",0,4,2,1,0,"HB","Online_TA","TA/TO","0","G","G",1,"No_deposit","Transient",154.77,0,1,"0","1","TRUE","FALSE","FALSE"
"Resort_Hotel","not_canceled",15,"2015","June",1,3,2,0,0,"BB","Online_TA","TA/TO","0","A","C",0,"No_deposit","Transient",98,0,0,"0","1","FALSE","FALSE","FALSE"
"Resort_Hotel","not_canceled",16,"2015","June",2,3,2,0,0,"BB","Direct","Direct","0","F","F",0,"No_deposit","Transient",123,0,0,"0","0","TRUE","FALSE","FALSE"
"Resort_Hotel","not_canceled",96,"2015","June",2,5,2,0,0,"BB","Offline_TA/TO","TA/TO","0","A","A",0,"No_deposit","Transient",58.95,0,1,"0","1","TRUE","FALSE","FALSE"
"Resort_Hotel","not_canceled",3,"2015","June",0,1,2,0,0,"BB","Online_TA","TA/TO","0","A","C",0,"No_deposit","Transient",88.2,1,0,"0","1","FALSE","FALSE","FALSE"
"Resort_Hotel","not_canceled",1,"2015","June",0,1,2,2,0,"BB","Direct","Direct","0","C","C",0,"No_deposit","Transient",107,1,2,"0","0","TRUE","FALSE","FALSE"
"Resort_Hotel","not_canceled",17,"2015","June",0,3,2,0,0,"BB","Direct","Direct","0","F","F",0,"No_deposit","Transient",133,0,1,"0","1","TRUE","FALSE","FALSE"
"Resort_Hotel","not_canceled",3,"2015","June",0,2,2,0,0,"BB","Online_TA","TA/TO","0","A","C",0,"No_deposit","Transient",110.5,0,0,"0","1","FALSE","FALSE","FALSE"
"Resort_Hotel","not_canceled",15,"2015","June",0,2,2,0,0,"BB","Online_TA","TA/TO","0","A","A",0,"No_deposit","Transient",114.5,0,0,"0","1","TRUE","FALSE","FALSE"
"Resort_Hotel","not_canceled",3,"2015","June",1,2,2,0,0,"BB","Online_TA","TA/TO","0","A","A",0,"No_deposit","Transient",90.9,1,0,"0","1","TRUE","FALSE","FALSE"
