"hotel","is_canceled","lead_time","arrival_date_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","market_segment","distribution_channel","is_repeated_guest","booking_changes","deposit_type","customer_type","required_car_parking_spaces","total_of_special_requests","restype","room_coherence","prev_cancellations","waiting_list"
"Resort Hotel","0",18,"June",0,4,2,1,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",15,"June",1,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",16,"June",2,3,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"company","1",0,0
"Resort Hotel","0",96,"June",2,5,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",3,"June",0,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","0",0,0
"Resort Hotel","0",1,"June",0,1,2,2,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",1,2,"company","1",0,0
"Resort Hotel","0",17,"June",0,3,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",3,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",15,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",3,"June",1,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",1,"June",0,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",63,"June",2,5,3,0,0,"HB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",4,"June",2,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",8,"June",0,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",9,"June",1,0,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",0,"June",1,0,2,0,0,"BB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",97,"June",2,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",30,"June",2,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",39,"June",2,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",27,"June",2,5,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",98,"June",1,5,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","0",0,0
"Resort Hotel","0",55,"June",0,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",8,"June",0,4,3,2,0,"BB","Online TA","TA/TO","0",2,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",1,"June",0,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",5,"June",0,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",44,"June",2,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",70,"June",2,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",0,"June",0,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"company","1",0,0
"Resort Hotel","0",0,"June",0,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",71,"June",1,1,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",8,"June",2,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",34,"June",2,5,2,0,1,"HB","Offline TA/TO","TA/TO","0",1,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",59,"June",2,5,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",13,"June",2,0,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",1,"June",2,0,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",9,"June",2,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,3,"agent","1",0,0
"Resort Hotel","0",50,"June",2,3,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",0,0,"agent","1",0,0
"Resort Hotel","0",34,"June",2,3,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",47,"June",2,5,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",98,"June",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient-Party",0,3,"agent","1",0,0
"Resort Hotel","0",109,"June",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",98,"June",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient-Party",0,3,"agent","1",0,0
"Resort Hotel","0",9,"June",1,1,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
